Country,Gold,Silver,Bronze,Medal Count
United States,40,44,42,126
China,40,27,24,91
Great Britain,20,12,13,45
France,18,19,16,53
Australia,16,26,22,64
Japan,15,7,12,34
Italy,14,22,29,65
Netherlands,13,9,10,32
Germany,12,13,15,40
Korea,12,13,8,33
Canada,10,7,3,20
Brazil,9,7,11,27
New Zealand,8,2,3,13
Hungary,6,7,6,19
Spain,5,4,9,18
Uzbekistan,4,4,3,11
IR Iran,4,2,5,11
Ukraine,4,1,3,8
Kenya,4,0,3,7
Sweden,3,7,10,20
Belgium,3,6,3,12
Poland,3,5,4,12
Cuba,3,4,2,9
Denmark,3,3,1,7
Romania,3,1,6,10
Greece,3,1,3,7
Norway,3,1,1,5
Switzerland,3,0,2,5
Türkiye,2,2,5,9
Azerbaijan,2,2,3,7
Bulgaria,2,2,3,7
Chinese Taipei,2,1,6,9
Croatia,2,1,1,4
Georgia,2,1,0,3
Ireland,2,0,5,7
Israel,2,0,3,5
Kazakhstan,2,0,2,4
DPR Korea,2,0,2,4
India,2,0,1,3
Jamaica,2,0,0,2
Kyrgyzstan,1,5,1,7
South Africa,1,4,5,10
Thailand,1,3,3,7
AIN,1,3,2,6
Austria,1,3,2,6
Czechia,1,3,2,6
Ecuador,1,3,1,5
Mexico,1,3,0,4
Serbia,1,2,5,8
Armenia,1,2,2,5
Bahrain,1,2,1,4
Colombia,1,1,6,8
Ethiopia,1,1,1,3
Lithuania,1,1,1,3
Philippines,1,1,1,3
Portugal,1,1,0,2
Republic of Moldova,1,1,0,2
Algeria,1,1,0,2
Argentina,1,1,0,2
Dominican Republic,1,0,2,3
Egypt,1,0,1,2
Slovenia,1,0,1,2
Tajikistan,1,0,0,1
Tunisia,1,0,0,1
"Hong Kong, China",0,3,5,8
Albania,0,3,2,5
Botswana,0,3,1,4
Chile,0,3,1,4
Grenada,0,2,4,6
Guatemala,0,2,4,6
Indonesia,0,2,2,4
Kosovo,0,1,5,6
Malaysia,0,1,3,4
Morocco,0,1,1,2
Puerto Rico,0,1,0,1
Saint Lucia,0,1,0,1
Uganda,0,1,0,1
Cabo Verde,0,1,0,1
Cyprus,0,1,0,1
Côte d'Ivoire,0,0,3,3
Dominica,0,0,2,2
EOR,0,0,2,2
Fiji,0,0,2,2
Jordan,0,0,2,2
Mongolia,0,0,1,1
Pakistan,0,0,1,1
Panama,0,0,1,1
Peru,0,0,1,1
Qatar,0,0,1,1
Singapore,0,0,1,1
Slovakia,0,0,1,1
Zambia,0,0,1,1
